Codi,Nom,CodiProvíncia
010014,Alegría-Dulantzi,01
010029,Amurrio,01
010035,Aramaio,01
010040,Artziniega,01
010066,Armiñón,01
010088,Arratzua-Ubarrundia,01
010091,Asparrena,01
010105,Ayala/Aiara,01
010112,BañosdeEbro/Mañueta,01
010133,Barrundia,01
010148,Berantevilla,01
010164,Bernedo,01
010170,Campezo/Kanpezu,01
010186,Zigoitia,01
010199,Kripan,01
010203,Kuartango,01
010210,Elburgo/Burgelu,01
010225,Elciego,01
010231,Elvillar/Bilar,01
010278,Iruraiz-Gauna,01
010284,Labastida/Bastida,01
010301,Lagrán,01
010318,Laguardia,01
010323,Lanciego/Lantziego,01
010339,LapuebladeLabarca,01
010344,Leza,01
010360,Laudio/Llodio,01
010376,Arraia-Maeztu,01
010395,MoredadeÁlava/MoredaAraba,01
010416,Navaridas,01
010421,Okondo,01
010437,Oyón-Oion,01
010442,Peñacerrada-Urizaharra,01
010468,Erriberagoitia/RiberaAlta,01
010474,RiberaBaja/Erriberabeitia,01
010493,Añana,01
010513,Agurain/Salvatierra,01
010528,Samaniego,01
010534,SanMillán/Donemiliaga,01
010549,Urkabustaiz,01
010552,Valdegovía/Gaubea,01
010565,Harana/ValledeArana,01
010571,VillabuenadeÁlava/Eskuernaga,01
010587,Legutio,01
010590,Vitoria-Gasteiz,01
010604,Yécora/Iekora,01
010611,Zalduondo,01
010626,Zambrana,01
010632,Zuia,01
019015,IruñaOka/IruñadeOca,01
019020,Lantarón,01
020019,Abengibre,02
020024,Alatoz,02
020030,Albacete,02
020045,Albatana,02
020058,Alborea,02
020061,Alcadozo,02
020077,AlcaládelJúcar,02
020083,Alcaraz,02
020096,Almansa,02
020100,Alpera,02
020117,Ayna,02
020122,Balazote,02
020138,BalsadeVes,02
020143,Ballestero,El,02
020156,Barrax,02
020169,Bienservida,02
020175,Bogarra,02
020181,Bonete,02
020194,Bonillo,El,02
020208,Carcelén,02
020215,CasasdeJuanNúñez,02
020220,CasasdeLázaro,02
020236,CasasdeVes,02
020241,Casas-Ibáñez,02
020254,Caudete,02
020267,Cenizate,02
020273,Corral-Rubio,02
020289,Cotillas,02
020292,ChinchilladeMonte-Aragón,02
020306,ElchedelaSierra,02
020313,Férez,02
020328,Fuensanta,02
020334,Fuente-Álamo,02
020349,Fuentealbilla,02
020352,Gineta,La,02
020365,Golosalvo,02
020371,Hellín,02
020387,Herrera,La,02
020390,Higueruela,02
020404,Hoya-Gonzalo,02
020411,Jorquera,02
020426,Letur,02
020432,Lezuza,02
020447,Liétor,02
020450,Madrigueras,02
020463,Mahora,02
020479,Masegoso,02
020485,Minaya,02
020498,Molinicos,02
020501,Montalvos,02
020518,MontealegredelCastillo,02
020523,Motilleja,02
020539,Munera,02
020544,NavasdeJorquera,02
020557,Nerpio,02
020560,Ontur,02
020576,OssadeMontiel,02
020582,PaternadelMadera,02
020595,Peñascosa,02
020609,PeñasdeSanPedro,02
020616,Pétrola,02
020621,Povedilla,02
020637,Pozohondo,02
020642,Pozo-Lorente,02
020655,Pozuelo,02
020668,Recueja,La,02
020674,Riópar,02
020680,Robledo,02
020693,Roda,La,02
020707,Salobre,02
020714,SanPedro,02
020729,Socovos,02
020735,TarazonadelaMancha,02
020740,Tobarra,02
020753,Valdeganga,02
020766,Vianos,02
020772,VilladeVes,02
020788,VillalgordodelJúcar,02
020791,Villamalea,02
020805,Villapalacios,02
020812,Villarrobledo,02
020827,Villatoya,02
020833,Villavaliente,02
020848,VillaverdedeGuadalimar,02
020851,Viveros,02
020864,Yeste,02
029010,PozoCañada,02
030015,Atzúbia,l,03
030020,Agost,03
030036,Agres,03
030041,Aigües,03
030054,Albatera,03
030067,Alcalalí,03
030073,Alcosser,03
030089,Alcoleja,03
030092,Alcoi/Alcoy,03
030106,Alfafara,03
030113,AlfàsdelPi,l,03
030128,Algorfa,03
030134,Algueña,03
030149,Alacant/Alicante,03
030152,Almoradí,03
030165,Almudaina,03
030171,AlqueriadAsnarl,03
030187,Altea,03
030190,Aspe,03
030204,Balones,03
030211,BanyeresdeMariola,03
030226,Benasau,03
030232,Beneixama,03
030247,Benejúzar,03
030250,Benferri,03
030263,Beniarbeig,03
030279,Beniardà,03
030285,Beniarrés,03
030298,Benigembla,03
030302,Benidoleig,03
030319,Benidorm,03
030324,Benifallim,03
030330,Benifato,03
030345,Benijófar,03
030358,Benilloba,03
030361,Benillup,03
030377,Benimantell,03
030383,Benimarfull,03
030396,Benimassot,03
030400,Benimeli,03
030417,Benissa,03
030422,PobleNoudeBenitatxell,el/Benitachell,03
030438,Biar,03
030443,Bigastro,03
030456,Bolulla,03
030469,Busot,03
030475,Calp,03
030481,CallosadenSarrià,03
030494,CallosadeSegura,03
030507,Campello,el,03
030514,CampdeMirra,el/CampodeMirra,03
030529,Cañada,03
030535,Castalla,03
030540,CastelldeCastells,03
030553,Catral,03
030566,Cocentaina,03
030572,Confrides,03
030588,Cox,03
030591,Crevillent,03
030605,Quatretondeta,03
030612,DayaNueva,03
030627,DayaVieja,03
030633,Dénia,03
030648,Dolores,03
030651,Elx/Elche,03
030664,Elda,03
030670,Fageca,03
030686,Famorca,03
030699,Finestrat,03
030703,FormenteradelSegura,03
030710,GatadeGorgos,03
030725,Gaianes,03
030731,Gorga,03
030746,GranjadeRocamora,03
030759,CastelldeGuadalest,el,03
030762,GuardamardelSegura,03
030778,FondódelesNeus,el/HondóndelasNieves,03
030784,HondóndelosFrailes,03
030797,Ibi,03
030801,Jacarilla,03
030818,Xaló,03
030823,Xàbia/Jávea,03
030839,Xixona/Jijona,03
030844,Orxa,l/Lorcha,03
030857,Llíber,03
030860,Millena,03
030882,MonfortedelCid,03
030895,Monòver/Monóvar,03
030909,Mutxamel,03
030916,Murla,03
030921,MurodeAlcoy,03
030937,Novelda,03
030942,Nucia,la,03
030955,Ondara,03
030968,Onil,03
030974,Orba,03
030980,Orxeta,03
030993,Orihuela,03
031007,Parcent,03
031014,Pedreguer,03
031029,Pego,03
031035,Penàguila,03
031040,Petrer,03
031053,Pinós,el/Pinoso,03
031066,Planes,03
031072,Polop,03
031091,Rafal,03
031105,RàfoldAlmúnia,El,03
031112,Redován,03
031127,Relleu,03
031133,Rojales,03
031148,Romana,la,03
031151,Sagra,03
031164,Salinas,03
031170,SanetyNegrals,03
031186,SanFulgencio,03
031199,SantJoandAlacant,03
031203,SanMigueldeSalinas,03
031210,SantaPola,03
031225,SantVicentdelRaspeig/SanVicentedelRaspeig,03
031231,Sax,03
031246,Sella,03
031259,Senija,03
031278,Tàrbena,03
031284,Teulada,03
031297,Tibi,03
031301,Tollos,03
031318,Tormos,03
031323,TorredelesMaçanes,la/Torremanzanas,03
031339,Torrevieja,03
031344,ValldAlcalà,la,03
031357,ValldEbo,la,03
031360,ValldeGallinera,la,03
031376,ValldeLaguar,la,03
031382,Verger,el,03
031395,VilaJoiosa,la/Villajoyosa,03
031409,Villena,03
039016,Poblets,els,03
039021,PilardelaHoradada,03
039037,Montesinos,Los,03
039042,SanIsidro,03
040010,Abla,04
040025,Abrucena,04
040031,Adra,04
040046,Albanchez,04
040059,Alboloduy,04
040062,Albox,04
040078,Alcolea,04
040084,Alcóntar,04
040097,AlcudiadeMonteagud,04
040101,Alhabia,04
040118,AlhamadeAlmería,04
040123,Alicún,04
040139,Almería,04
040144,Almócita,04
040157,Alsodux,04
040160,Antas,04
040176,Arboleas,04
040182,ArmuñadeAlmanzora,04
040195,Bacares,04
040209,Bayárcal,04
040216,Bayarque,04
040221,Bédar,04
040237,Beires,04
040242,Benahadux,04
040268,Benitagla,04
040274,Benizalón,04
040280,Bentarique,04
040293,Berja,04
040307,Canjáyar,04
040314,Cantoria,04
040329,Carboneras,04
040335,CastrodeFilabres,04
040340,Cóbdar,04
040353,CuevasdelAlmanzora,04
040366,Chercos,04
040372,Chirivel,04
040388,Dalías,04
040412,Enix,04
040433,Felix,04
040448,Fines,04
040451,Fiñana,04
040464,Fondón,04
040470,Gádor,04
040486,Gallardos,Los,04
040499,Garrucha,04
040502,Gérgal,04
040519,Huécija,04
040524,HuércaldeAlmería,04
040530,Huércal-Overa,04
040545,Íllar,04
040558,Instinción,04
040561,Laroya,04
040577,LáujardeAndarax,04
040583,Líjar,04
040596,Lubrín,04
040600,LucainenadelasTorres,04
040617,Lúcar,04
040622,Macael,04
040638,María,04
040643,Mojácar,04
040656,Nacimiento,04
040669,Níjar,04
040675,Ohanes,04
040681,OluladeCastro,04
040694,OluladelRío,04
040708,Oria,04
040715,Padules,04
040720,Partaloa,04
040736,PaternadelRío,04
040741,Pechina,04
040754,Pulpí,04
040767,Purchena,04
040773,Rágol,04
040789,Rioja,04
040792,RoquetasdeMar,04
040806,SantaCruzdeMarchena,04
040813,SantaFedeMondújar,04
040828,Senés,04
040834,Serón,04
040849,Sierro,04
040852,Somontín,04
040865,Sorbas,04
040871,Suflí,04
040887,Tabernas,04
040890,Taberno,04
040904,Tahal,04
040911,Terque,04
040926,Tíjola,04
040932,Turre,04
040947,Turrillas,04
040950,UleiladelCampo,04
040963,Urrácal,04
040979,Velefique,04
040985,Vélez-Blanco,04
040998,Vélez-Rubio,04
041002,Vera,04
041019,Viator,04
041024,Vícar,04
041030,Zurgena,04
049011,TresVillas,Las,04
049026,Ejido,El,04
049032,Mojonera,La,04
049047,Balanegra,04
050013,Adanero,05
050028,Adrada,La,05
050052,Albornos,05
050071,AldeanuevadeSantaCruz,05
050087,Aldeaseca,05
050104,Aldehuela,La,05
050126,Amavida,05
050132,Arenal,El,05
050147,ArenasdeSanPedro,05
050150,Arevalillo,05
050163,Arévalo,05
050179,Aveinte,05
050185,Avellaneda,05
050198,Ávila,05
050219,BarcodeÁvila,El,05
050224,Barraco,El,05
050230,Barromán,05
050245,Becedas,05
050258,Becedillas,05
050261,BercialdeZapardiel,05
050277,Berlanas,Las,05
050296,Bernuy-Zapardiel,05
050300,BerrocalejodeAragona,05
050338,Blascomillán,05
050343,BlasconuñodeMatacabras,05
050356,Blascosancho,05
050369,Bohodón,El,05
050375,Bohoyo,05
050381,BonilladelaSierra,05
050394,Brabos,05
050408,Bularros,05
050415,Burgohondo,05
050420,CabezasdeAlambre,05
050436,CabezasdelPozo,05
050441,CabezasdelVillar,05
050454,Cabizuela,05
050467,Canales,05
050473,Candeleda,05
050489,Cantiveros,05
050492,Cardeñosa,05
050512,Carrera,La,05
050527,CasasdelPuerto,05
050533,Casasola,05
050548,Casavieja,05
050551,Casillas,05
050564,CastellanosdeZapardiel,05
050570,Cebreros,05
050586,CepedalaMora,05
050599,Cillán,05
050603,Cisla,05
050610,Colilla,La,05
050625,ColladodeContreras,05
050631,ColladodelMirón,05
050646,Constanzana,05
050659,Crespos,05
050662,CuevasdelValle,05
050678,Chamartín,05
050697,Donjimeno,05
050701,Donvidas,05
050723,EspinosadelosCaballeros,05
050739,FloresdeÁvila,05
050744,Fontiveros,05
050757,Fresnedilla,05
050760,Fresno,El,05
050776,FuenteelSaúz,05
050782,FuentesdeAño,05
050795,GallegosdeAltamiros,05
050809,GallegosdeSobrinos,05
050816,GargantadelVillar,05
050821,Gavilanes,05
050837,Gemuño,05
050842,Gilbuena,05
050855,GilGarcía,05
050868,Gimialcón,05
050874,Gotarrendura,05
050880,GrandesySanMartín,05
050893,Guisando,05
050907,Gutierre-Muñoz,05
050929,Hernansancho,05
050935,HerradóndePinares,05
050940,HerrerosdeSuso,05
050953,HigueradelasDueñas,05
050966,HijadeDios,La,05
050972,Horcajada,La,05
050991,HorcajodelasTorres,05
051005,Hornillo,El,05
051012,Hoyocasero,05
051027,HoyodePinares,El,05
051033,Hoyorredondo,05
051048,HoyosdelCollado,05
051051,HoyosdelEspino,05
051064,HoyosdeMiguelMuñoz,05
051070,Hurtumpascual,05
051086,Junciana,05
051099,Langa,05
051103,Lanzahíta,05
051125,LosardelBarco,El,05
051131,LlanosdeTormes,Los,05
051146,MadrigaldelasAltasTorres,05
051159,Maello,05
051162,MalpartidadeCorneja,05
051178,Mamblas,05
051184,ManceradeArriba,05
051197,ManjabálagoyOrtigosadeRioalmar,05
051201,Marlín,05
051218,Martiherrero,05
051223,Martínez,05
051239,MedianadeVoltoya,05
051244,Medinilla,05
051257,Mengamuñoz,05
051260,MesegardeCorneja,05
051276,Mijares,05
051282,Mingorría,05
051295,Mirón,El,05
051309,Mironcillo,05
051316,MirueñadelosInfanzones,05
051321,Mombeltrán,05
051337,Monsalupe,05
051342,MoralejadeMatacabras,05
051355,Muñana,05
051368,Muñico,05
